Item,K,M1,M2,selectivity,errorRate,accuracy_avg,accuracy_lower,accuracy_higher,phases_avg,phases_lower,phases_higher,questions_avg,questions_lower,questions_higher
100000,15,10,10,0.05,0.2,0.97,0.93,1.0,156.5,"114,00","242,00",4183.9,"3230,00",5423
100000,15,10,10,0.1,0.2,0.96,0.93,1.0,66.4,"40,00","96,00",1920.1,"1288,00",2587
100000,15,10,10,0.2,0.2,0.9866,0.93,1.0,37.8,"17,00","69,00",955.5,"630,00",1507
100000,15,10,10,0.05,0.3,0.72,0.53,0.87,162.9,"79,00","373,00",3085.6,"1909,00",5804
100000,15,10,10,0.1,0.3,0.821,0.53,1.0,68.6,"26,00","117,00",1734.0,"951,00",3066
100000,15,10,10,0.2,0.3,0.84,0.73,1.0,40.3,"20,00","62,00",936.4,"647,00",1336
100000,15,10,10,0.05,0.4,0.17,0.07,0.33,48.7,"34,00","68,00",1037.3,"841,00",1291
100000,15,10,10,0.1,0.4,0.32,0.2,0.4,40.6,"23,00","95,00",862.9,"552,00",1189
100000,15,10,10,0.2,0.4,0.48,0.2,0.6,37.1,"17,00","86,00",747.7,"518,00",1040
10000,15,10,10,0.05,0.2,0.95,0.87,1.0,154.3,"78,00","219,00",3697.0,"2888,00",4205
10000,15,10,10,0.1,0.2,0.986,0.93,1.0,59.7,"41,00","83,00",1611.5,"1254,00",1881
10000,15,10,10,0.05,0.3,0.66,0.4,0.87,101.4,"48,00","157,00",2497.2,"1189,00",3232
10000,15,10,10,0.1,0.3,0.79,0.67,0.87,74.8,"44,00","139,00",1703.3,"1339,00",2143
10000,15,10,10,0.05,0.4,0.21,0.13,0.4,55.3,"29,00","99,00",1114.5,"870,00",1569
10000,15,10,10,0.1,0.4,0.35,0.07,0.6,34.8,"24,00","49,00",960.2,"682,00",1356
100000,10,5,5,0.01,0.1,0.9,0.7,1.0,393.8,"210,00","614,00",4837.4,"3045,00",7053
100000,10,10,10,0.01,0.1,1.0,1.0,1.0,589.2,"312,00","908,00",11116.6,"6090,00",17866
100000,30,5,5,0.01,0.1,0.92,0.83,0.97,542.4,"370,00","783,00",14671.7,"11850,00",21326
100000,30,10,10,0.01,0.1,"1,00","1,00",1.0,628.3,"441,00","1018,00",32344.5,"27993,00",39800
100000,50,5,5,0.01,0.1,0.92,0.86,0.94,575.2,"404,00","727,00",25398.3,"18779,00",33926
100000,50,10,10,0.01,0.1,1.0,1.0,1.0,766.4,"528,00","1137,00",52370.6,"44331,00",60828
1000000,10,10,10,0.01,0.1,1.0,1.0,1.0,506.5,"176,00","1345,00",10331.3,"4889,00",18345
1000000,30,10,10,0.01,0.1,1.0,1.0,1.0,565.8,"440,00","786,00",33872.4,"22714,00",39547
1000000,50,10,10,0.01,0.1,1.0,1.0,1.0,794.5,"424,00","1102,00",58661.4,"48650,00",73562
1000000,10,5,5,0.01,0.1,0.95,0.9,1.0,478.1,"271,00","646,00",5245.0,"3325,00",6862
1000000,30,5,5,0.01,0.1,0.92,0.87,0.97,499.7,"340,00","701,00",4913.9,"12005,00",18481
1000000,50,5,5,"0,01","0,1","0,93","0,88","0,98","623,20","436,00","1214,00","5896,80","46217,00",63512
