Item,K,M1,M2,selectivity,errorRate,accuracy_avg,accuracy_lower,accuracy_higher,phases_avg,phases_lower,phases_higher,questions_avg,questions_lower,questions_higher
100000,10,5,5,0.01,0.1,0.9000000000000001,0.7,1.0,393.8,210,614,4837.4,3045,7053
100000,10,10,10,0.01,0.1,1.0,1.0,1.0,589.2,312,908,11116.6,6090,17866
100000,30,5,5,0.01,0.1,0.9233333333333335,0.8333333333333334,0.9666666666666667,542.4,370,783,14671.7,11850,21326
100000,30,10,10,0.01,0.1,1,1,1.0,628.3,441,1018,32344.5,27993,39800
100000,50,5,5,0.01,0.1,0.9179999999999999,0.86,0.94,575.2,404,727,25398.3,18779,33926
100000,50,10,10,0.01,0.1,1.0,1.0,1.0,766.4,528,1137,52370.6,44331,60828
1000000,10,10,10,0.01,0.1,1.0,1.0,1.0,506.5,176,1345,10331.3,4889,18345
1000000,30,10,10,0.01,0.1,1.0,1.0,1.0,565.8,440,786,33872.4,22714,39547
1000000,50,10,10,0.01,0.1,1.0,1.0,1.0,794.5,424,1102,58661.4,48650,73562
1000000,10,5,5,0.01,0.1,0.95,0.9,1.0,478.1,271,646,5245.0,3325,6862
1000000,30,5,5,0.01,0.1,0.9166666666666667,0.8666666666666667,0.9666666666666667,499.7,340,701,4913.9,12005,18481
1000000,50,5,5,"0,01","0,1","0,9265","0,88","0,98","623,2",436,1214,"5896,8",46217,63512
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,M fa la differenza per accuracy,,,,,,,,,,
,,,,anche le domande pero mediamente subiscono un aumento importante meno le fasi,,,,,,,,,,
,,,,il numero di item aumenta relitavente poco il numero di fasi e domande (meno del 1 % a fronte di un dataset 10 volte piu grande),,,,,,,,,,
,,,,"K è un elemento che invece influsice molto sul numero di fasi e question, molto meno di quello che credevamo per quanto riguarda l’accuracy, se non cambiamo gli altri parametri",,,,,,,,,,
